resourceType
"Microsoft.AlertsManagement/actionRules"
"microsoft.alertsmanagement/smartDetectorAlertRules"
"Microsoft.Automation/automationAccounts"
"Microsoft.Compute/disks"
"Microsoft.Compute/sshPublicKeys"
"Microsoft.Compute/virtualMachines"
"Microsoft.Compute/virtualMachines/extensions"
"Microsoft.Compute/virtualMachineScaleSets"
"Microsoft.ContainerInstance/containerGroups"
"Microsoft.ContainerRegistry/registries"
"Microsoft.ContainerService/managedClusters"
"Microsoft.DBforMySQL/flexibleServers"
"Microsoft.EventGrid/systemTopics"
"Microsoft.EventHub/namespaces"
"Microsoft.Insights/actiongroups"
"microsoft.insights/activityLogAlerts"
"Microsoft.Insights/components"
"Microsoft.Insights/dataCollectionRules"
"Microsoft.Insights/metricalerts"
"Microsoft.Insights/scheduledqueryrules"
"Microsoft.KeyVault/vaults"
"Microsoft.KubernetesConfiguration/privateLinkScopes"
"Microsoft.Logic/workflows"
"Microsoft.MachineLearningServices/workspaces"
"Microsoft.MachineLearningServices/workspaces/batchEndpoints"
"Microsoft.MachineLearningServices/workspaces/batchEndpoints/deployments"
"Microsoft.ManagedIdentity/userAssignedIdentities"
"Microsoft.Network/loadBalancers"
"Microsoft.Network/networkInterfaces"
"Microsoft.Network/networkSecurityGroups"
"Microsoft.Network/networkWatchers"
"Microsoft.Network/privateEndpoints"
"Microsoft.Network/routeTables"
"Microsoft.Network/virtualNetworks"
"Microsoft.OperationalInsights/workspaces"
"Microsoft.OperationsManagement/solutions"
"Microsoft.Portal/dashboards"
"Microsoft.Purview/accounts"
"Microsoft.RecoveryServices/vaults"
"Microsoft.Sql/servers"
"Microsoft.Sql/servers/databases"
"Microsoft.Storage/storageAccounts"
"Microsoft.Synapse/privateLinkHubs"
"Microsoft.Synapse/workspaces"
"Microsoft.Synapse/workspaces/bigDataPools"
"Microsoft.Web/connections"
"Microsoft.Web/serverFarms"
"Microsoft.Web/sites"
